word,star_1,star_2,star_3,star_4,star_5
mentor,6.0,1.0,5.0,7.0,189.0
iam,0.0,0.0,0.0,0.0,34.0
aspir,0.0,0.0,0.0,2.0,65.0
crap,6.0,1.0,7.0,23.0,121.0
throw,4.0,0.0,3.0,1.0,24.0
schedul,0.0,0.0,0.0,4.0,70.0
loss,2.0,1.0,1.0,3.0,20.0
ti,156.0,150.0,305.0,709.0,13336.0
invit,1.0,0.0,1.0,1.0,18.0
coursethi,0.0,0.0,0.0,1.0,14.0
1st,2.0,0.0,2.0,4.0,51.0
foward,0.0,0.0,0.0,0.0,11.0
demonstr,0.0,1.0,1.0,1.0,86.0
peak,19.0,26.0,24.0,32.0,237.0
effortless,0.0,0.0,0.0,0.0,12.0
spectrum,0.0,0.0,0.0,0.0,7.0
breez,0.0,1.0,0.0,1.0,28.0
warn,1.0,1.0,0.0,2.0,2.0
mainli,1.0,1.0,1.0,6.0,36.0
2021,1.0,0.0,0.0,1.0,3.0
thru,1.0,1.0,0.0,2.0,24.0
smile,0.0,0.0,0.0,0.0,23.0
fashion,0.0,0.0,0.0,1.0,26.0
imagin,2.0,1.0,1.0,2.0,75.0
empow,0.0,0.0,0.0,0.0,56.0
dig,1.0,2.0,4.0,12.0,265.0
trial,0.0,4.0,0.0,0.0,24.0
nearli,1.0,1.0,1.0,2.0,21.0
input,0.0,0.0,2.0,5.0,46.0
clarif,0.0,2.0,3.0,1.0,67.0
detal,0.0,0.0,0.0,0.0,24.0
necesario,0.0,0.0,0.0,0.0,22.0
cualquiera,0.0,0.0,0.0,0.0,9.0
pueda,0.0,0.0,0.0,0.0,12.0
entrar,0.0,0.0,0.0,0.0,11.0
gusto,0.0,0.0,0.0,1.0,39.0
semana,0.0,0.0,0.0,0.0,18.0
zero,3.0,3.0,5.0,2.0,220.0
survey,0.0,0.0,0.0,2.0,10.0
layperson,0.0,0.0,0.0,2.0,4.0
curs,2.0,2.0,3.0,22.0,1247.0
size,0.0,0.0,0.0,1.0,33.0
enrich,0.0,0.0,0.0,1.0,81.0
brought,1.0,0.0,0.0,5.0,58.0
youll,2.0,4.0,1.0,2.0,105.0
teenag,0.0,0.0,1.0,0.0,21.0
ce,76.0,59.0,158.0,601.0,17053.0
cour,151.0,140.0,325.0,1433.0,34692.0
sa,50.0,38.0,74.0,111.0,2218.0
pertinent,0.0,0.0,0.0,0.0,7.0
et,118.0,101.0,225.0,625.0,11661.0
le,126.0,133.0,303.0,1039.0,27563.0
sont,0.0,0.0,1.0,0.0,12.0
bon,0.0,0.0,1.0,16.0,219.0
ni,74.0,73.0,119.0,451.0,11518.0
mai,10.0,5.0,7.0,25.0,416.0
avec,0.0,0.0,0.0,1.0,15.0
merci,0.0,0.0,0.0,1.0,30.0
air,2.0,2.0,4.0,6.0,134.0
risk,0.0,1.0,0.0,1.0,5.0
bright,0.0,0.0,0.0,0.0,13.0
kindl,1.0,0.0,0.0,3.0,26.0
appetit,0.0,0.0,0.0,0.0,9.0
call,2.0,2.0,4.0,2.0,62.0
gift,0.0,0.0,0.0,0.0,45.0
file,1.0,2.0,5.0,15.0,62.0
paint,0.0,0.0,0.0,2.0,8.0
clara,0.0,0.0,0.0,2.0,49.0
sido,0.0,0.0,0.0,1.0,32.0
valioso,0.0,0.0,0.0,0.0,13.0
ahora,0.0,0.0,0.0,0.0,18.0
motivado,0.0,0.0,0.0,0.0,7.0
fabul,0.0,0.0,1.0,3.0,75.0
penni,1.0,0.0,0.0,1.0,6.0
intern,5.0,3.0,8.0,27.0,206.0
shape,0.0,0.0,0.0,0.0,21.0
trainer,0.0,0.0,0.0,6.0,79.0
smaller,0.0,1.0,2.0,3.0,18.0
scenario,0.0,1.0,0.0,4.0,67.0
cater,0.0,0.0,0.0,0.0,14.0
uptod,1.0,1.0,0.0,2.0,6.0
1010,0.0,0.0,0.0,1.0,47.0
deserv,0.0,0.0,1.0,0.0,46.0
flaw,1.0,2.0,0.0,0.0,33.0
whoever,0.0,1.0,0.0,0.0,24.0
awesomei,0.0,0.0,0.0,0.0,8.0
lockdown,0.0,0.0,0.0,1.0,25.0
subsequ,0.0,0.0,1.0,2.0,30.0
pratic,2.0,0.0,0.0,2.0,20.0
facilit,0.0,0.0,5.0,2.0,101.0
thnak,0.0,0.0,0.0,0.0,9.0
harm,1.0,0.0,0.0,0.0,37.0
magic,1.0,1.0,0.0,0.0,40.0
sophist,0.0,0.0,0.0,3.0,19.0
brush,0.0,1.0,0.0,0.0,76.0
explanatori,0.0,0.0,1.0,3.0,42.0
wellround,0.0,0.0,0.0,1.0,6.0
nocion,0.0,0.0,0.0,0.0,6.0
equipo,0.0,0.0,0.0,1.0,11.0
mi,48.0,52.0,67.0,153.0,3911.0
punto,0.0,0.0,0.0,0.0,8.0
vista,0.0,0.0,0.0,2.0,15.0
thrill,0.0,0.0,0.0,1.0,21.0
knowlag,0.0,0.0,0.0,0.0,8.0
blow,0.0,0.0,1.0,1.0,62.0
soo,2.0,0.0,0.0,5.0,223.0
gestur,0.0,0.0,0.0,0.0,7.0
verbal,1.0,0.0,0.0,1.0,5.0
carrier,0.0,0.0,0.0,1.0,27.0
youv,2.0,1.0,1.0,2.0,90.0
reliev,0.0,0.0,0.0,1.0,5.0
locat,2.0,0.0,0.0,0.0,12.0
layer,2.0,1.0,0.0,0.0,14.0
undertak,0.0,0.0,0.0,0.0,27.0
someday,0.0,0.0,0.0,1.0,18.0
fellow,0.0,0.0,0.0,3.0,36.0
dl,9.0,9.0,9.0,21.0,977.0
undertaken,0.0,0.0,0.0,0.0,12.0
deepen,0.0,0.0,0.0,2.0,33.0
valid,0.0,0.0,2.0,2.0,29.0
newli,0.0,0.0,0.0,1.0,22.0
upgrad,3.0,0.0,1.0,2.0,49.0
seamless,0.0,0.0,0.0,0.0,27.0
firm,1.0,0.0,1.0,2.0,66.0
thumb,0.0,0.0,1.0,2.0,33.0
n,254.0,234.0,635.0,2317.0,48292.0
g,178.0,191.0,518.0,1994.0,38526.0
pedagogi,1.0,1.0,0.0,0.0,31.0
upskil,0.0,0.0,0.0,0.0,12.0
evolv,1.0,0.0,1.0,0.0,12.0
informat,1.0,0.0,0.0,0.0,21.0
appear,3.0,4.0,3.0,2.0,33.0
depth,1.0,4.0,7.0,37.0,241.0
daili,0.0,1.0,0.0,3.0,335.0
cooper,0.0,0.0,0.0,0.0,8.0
tomorrow,0.0,0.0,0.0,0.0,7.0
ideal,0.0,1.0,3.0,0.0,84.0
rid,0.0,1.0,2.0,9.0,76.0
taker,0.0,0.0,0.0,0.0,9.0
upper,0.0,0.0,0.0,0.0,14.0
techi,0.0,0.0,0.0,0.0,6.0
fresh,1.0,1.0,1.0,8.0,534.0
period,2.0,0.0,0.0,4.0,94.0
group,0.0,0.0,0.0,0.0,63.0
h,217.0,204.0,496.0,1647.0,38757.0
c,250.0,232.0,621.0,2330.0,48828.0
u,251.0,238.0,632.0,2280.0,47025.0
l,243.0,234.0,596.0,2150.0,46237.0
p,230.0,214.0,539.0,1709.0,37053.0
