word,star_1,star_2,star_3,star_4,star_5
seamlessli,0.0,0.0,0.0,0.0,9.0
chart,0.0,0.0,1.0,1.0,83.0
extra,3.0,2.0,7.0,14.0,266.0
intrest,1.0,0.0,1.0,6.0,46.0
knowladg,0.0,0.0,0.0,0.0,6.0
buena,1.0,0.0,0.0,2.0,81.0
hoy,0.0,0.0,0.0,0.0,6.0
aplic,0.0,0.0,0.0,1.0,51.0
sencillo,0.0,0.0,1.0,1.0,30.0
incluso,0.0,0.0,0.0,0.0,11.0
defiantli,0.0,0.0,0.0,0.0,9.0
argument,0.0,1.0,1.0,2.0,13.0
uno,2.0,1.0,1.0,3.0,60.0
tomado,0.0,0.0,0.0,0.0,20.0
tan,46.0,58.0,141.0,345.0,6898.0
visto,0.0,0.0,0.0,0.0,10.0
websit,1.0,1.0,7.0,15.0,83.0
purchas,2.0,0.0,0.0,2.0,25.0
nut,7.0,3.0,1.0,4.0,135.0
acces,8.0,5.0,15.0,76.0,585.0
thanku,0.0,0.0,0.0,1.0,11.0
quarantin,0.0,0.0,0.0,0.0,15.0
trabajar,0.0,0.0,0.0,1.0,7.0
neglect,0.0,0.0,0.0,0.0,9.0
maestro,0.0,0.0,0.0,0.0,12.0
ofrec,0.0,0.0,0.0,0.0,9.0
abarca,0.0,0.0,0.0,0.0,9.0
definetli,0.0,0.0,0.0,0.0,13.0
favourit,0.0,0.0,0.0,0.0,22.0
grab,0.0,1.0,0.0,0.0,43.0
pop,1.0,0.0,1.0,4.0,47.0
bem,0.0,0.0,0.0,2.0,46.0
coursea,0.0,0.0,0.0,4.0,36.0
oppertun,0.0,0.0,0.0,0.0,8.0
tree,0.0,0.0,1.0,0.0,7.0
explicando,0.0,0.0,0.0,1.0,7.0
tienen,0.0,0.0,1.0,0.0,18.0
felicitacion,0.0,0.0,0.0,0.0,19.0
creador,0.0,0.0,0.0,0.0,6.0
saludo,0.0,0.0,0.0,0.0,15.0
colombia,0.0,0.0,0.0,0.0,8.0
provok,0.0,0.0,0.0,1.0,29.0
board,3.0,1.0,1.0,1.0,50.0
gender,1.0,0.0,1.0,0.0,5.0
divid,1.0,1.0,5.0,10.0,160.0
regularli,0.0,0.0,1.0,2.0,17.0
narr,1.0,1.0,4.0,4.0,37.0
substanti,0.0,1.0,0.0,1.0,14.0
pouco,0.0,0.0,0.0,0.0,7.0
estruturado,0.0,0.0,0.0,0.0,8.0
awesomethank,0.0,0.0,0.0,0.0,6.0
par,29.0,40.0,69.0,193.0,2508.0
du,39.0,41.0,83.0,298.0,5122.0
welldon,0.0,0.0,0.0,0.0,6.0
awe,0.0,2.0,5.0,46.0,1956.0
ver,117.0,118.0,232.0,975.0,22316.0
toma,0.0,2.0,2.0,1.0,70.0
burn,1.0,0.0,0.0,0.0,7.0
cors,0.0,0.0,0.0,0.0,25.0
2nd,1.0,0.0,1.0,3.0,23.0
layout,1.0,0.0,1.0,1.0,28.0
custom,1.0,0.0,0.0,0.0,16.0
peer,2.0,2.0,1.0,3.0,53.0
ur,166.0,162.0,391.0,1628.0,37749.0
motiva,0.0,0.0,0.0,0.0,18.0
aumentar,0.0,0.0,0.0,0.0,6.0
pela,0.0,0.0,0.0,0.0,9.0
courseera,0.0,0.0,0.0,0.0,7.0
intens,0.0,0.0,1.0,1.0,27.0
excercis,0.0,0.0,0.0,0.0,29.0
knowhow,0.0,0.0,0.0,0.0,15.0
vers,6.0,7.0,9.0,20.0,1096.0
game,1.0,3.0,0.0,1.0,42.0
endeavour,0.0,0.0,0.0,0.0,15.0
thankful,0.0,0.0,0.0,1.0,12.0
16,0.0,0.0,1.0,1.0,28.0
gud,0.0,0.0,1.0,1.0,15.0
plung,0.0,0.0,0.0,1.0,6.0
ocean,1.0,0.0,1.0,0.0,10.0
dummi,0.0,0.0,0.0,2.0,4.0
facil,0.0,0.0,5.0,3.0,144.0
comprendr,0.0,0.0,0.0,0.0,6.0
ne,101.0,97.0,199.0,537.0,13125.0
dept,1.0,4.0,7.0,39.0,245.0
handi,0.0,0.0,1.0,1.0,42.0
dar,3.0,4.0,4.0,1.0,133.0
reali,4.0,4.0,3.0,6.0,446.0
posibl,0.0,0.0,0.0,0.0,18.0
meticul,0.0,0.0,0.0,0.0,7.0
semant,0.0,1.0,0.0,1.0,13.0
instrument,0.0,0.0,0.0,0.0,21.0
solidifi,1.0,0.0,0.0,0.0,57.0
learni,0.0,0.0,1.0,4.0,68.0
abriu,0.0,0.0,0.0,0.0,6.0
ment,26.0,16.0,35.0,98.0,2183.0
mysteri,0.0,2.0,0.0,0.0,9.0
herramienta,0.0,0.0,0.0,1.0,99.0
bueno,0.0,0.0,1.0,7.0,135.0
ejemplo,0.0,0.0,1.0,2.0,27.0
learnig,0.0,0.0,0.0,0.0,10.0
physic,1.0,1.0,1.0,1.0,46.0
underst,44.0,54.0,134.0,339.0,6443.0
interst,0.0,0.0,0.0,3.0,25.0
saw,2.0,1.0,4.0,2.0,45.0
necesitan,0.0,0.0,0.0,1.0,5.0
nivel,0.0,0.0,0.0,0.0,36.0
conciso,0.0,0.0,0.0,0.0,8.0
splendid,0.0,0.0,0.0,0.0,15.0
alguien,1.0,0.0,0.0,0.0,9.0
previo,6.0,9.0,23.0,61.0,430.0
preliminari,0.0,0.0,0.0,4.0,7.0
undergo,0.0,0.0,0.0,1.0,5.0
underlin,0.0,0.0,0.0,0.0,7.0
weekend,0.0,0.0,0.0,0.0,8.0
wonderful,0.0,0.0,0.0,3.0,48.0
tune,0.0,0.0,1.0,0.0,9.0
biginn,0.0,0.0,0.0,0.0,13.0
uniniti,0.0,0.0,0.0,1.0,6.0
ein,0.0,1.0,2.0,2.0,195.0
sehr,0.0,0.0,2.0,0.0,11.0
und,78.0,83.0,196.0,482.0,9680.0
einfach,0.0,0.0,0.0,0.0,5.0
kur,0.0,0.0,1.0,0.0,11.0
der,55.0,63.0,148.0,425.0,8559.0
sr,1.0,1.0,0.0,1.0,85.0
perspectiva,0.0,0.0,0.0,0.0,8.0
podcast,0.0,0.0,0.0,0.0,6.0
sensat,0.0,0.0,0.0,0.0,9.0
approch,0.0,0.0,0.0,1.0,7.0
preced,0.0,0.0,2.0,0.0,6.0
coursebut,0.0,0.0,0.0,1.0,5.0
courselearn,0.0,0.0,0.0,1.0,12.0
lover,0.0,0.0,0.0,1.0,10.0
profil,1.0,0.0,0.0,2.0,10.0
wall,0.0,0.0,1.0,0.0,9.0
fundamental,0.0,0.0,0.0,0.0,6.0
deja,0.0,0.0,1.0,0.0,12.0
correl,1.0,0.0,1.0,0.0,8.0
bigger,0.0,0.0,0.0,1.0,24.0
quiera,0.0,0.0,0.0,0.0,30.0
simul,0.0,0.0,1.0,1.0,25.0
skil,8.0,10.0,13.0,44.0,2467.0
thx,0.0,0.0,0.0,0.0,18.0
tou,2.0,2.0,13.0,26.0,421.0
extremli,0.0,0.0,0.0,0.0,12.0
pressur,0.0,0.0,0.0,0.0,24.0
breakdown,0.0,0.0,0.0,0.0,17.0
everth,0.0,1.0,2.0,8.0,46.0
nugget,0.0,0.0,0.0,0.0,15.0
virtual,1.0,0.0,0.0,2.0,37.0
stare,0.0,0.0,0.0,1.0,8.0
explicacion,0.0,0.0,1.0,0.0,45.0
stepbystep,0.0,2.0,2.0,0.0,33.0
app,38.0,26.0,52.0,130.0,3717.0
commit,0.0,0.0,1.0,1.0,68.0
summar,2.0,2.0,2.0,3.0,46.0
valor,0.0,0.0,0.0,1.0,10.0
compos,0.0,1.0,0.0,0.0,7.0
upto,1.0,1.0,2.0,4.0,19.0
remind,1.0,2.0,1.0,0.0,85.0
aswel,1.0,0.0,0.0,0.0,5.0
maintain,0.0,2.0,0.0,0.0,42.0
exel,0.0,0.0,0.0,0.0,31.0
eleg,0.0,0.0,0.0,0.0,22.0
teachingi,0.0,0.0,0.0,1.0,5.0
per,44.0,39.0,77.0,231.0,7174.0
stronger,0.0,0.0,1.0,0.0,20.0
vraiment,0.0,0.0,0.0,1.0,19.0
infinit,0.0,0.0,0.0,0.0,13.0
otimo,0.0,0.0,0.0,1.0,8.0
sem,0.0,1.0,0.0,2.0,90.0
essenci,0.0,0.0,0.0,0.0,6.0
direto,0.0,0.0,0.0,0.0,6.0
mam,0.0,0.0,0.0,1.0,39.0
supper,0.0,0.0,0.0,0.0,7.0
x,95.0,105.0,230.0,777.0,20111.0
parti,2.0,6.0,4.0,24.0,325.0
dispel,0.0,0.0,0.0,1.0,6.0
supplement,0.0,1.0,2.0,3.0,49.0
heavili,1.0,0.0,1.0,2.0,10.0
adjust,0.0,0.0,1.0,1.0,19.0
averag,3.0,2.0,4.0,2.0,24.0
5star,0.0,0.0,0.0,2.0,8.0
land,0.0,0.0,0.0,3.0,24.0
itll,0.0,0.0,0.0,1.0,20.0
scaffold,0.0,0.0,0.0,1.0,6.0
moder,2.0,4.0,2.0,6.0,70.0
certifi,0.0,0.0,0.0,1.0,24.0
corner,1.0,1.0,0.0,1.0,7.0
passiv,0.0,1.0,0.0,1.0,4.0
complaint,1.0,1.0,1.0,4.0,18.0
hire,1.0,0.0,0.0,1.0,4.0
perman,0.0,0.0,0.0,1.0,112.0
widen,0.0,0.0,0.0,1.0,11.0
late,1.0,2.0,2.0,24.0,260.0
80,0.0,2.0,0.0,1.0,14.0
90,0.0,1.0,2.0,2.0,13.0
preview,0.0,0.0,0.0,1.0,5.0
30,3.0,0.0,1.0,3.0,43.0
min,21.0,13.0,12.0,43.0,1355.0
stick,0.0,1.0,0.0,3.0,75.0
therebi,0.0,0.0,0.0,2.0,8.0
strengthen,0.0,0.0,0.0,2.0,51.0
unit,1.0,1.0,0.0,2.0,19.0
misunderstand,0.0,0.0,1.0,1.0,14.0
rigor,0.0,0.0,1.0,4.0,19.0
earn,48.0,45.0,87.0,461.0,18140.0
predict,0.0,0.0,0.0,1.0,7.0
mainten,0.0,0.0,0.0,1.0,6.0
count,2.0,1.0,7.0,8.0,163.0
subtitl,3.0,7.0,10.0,12.0,46.0
incorrect,4.0,0.0,5.0,4.0,10.0
offic,2.0,2.0,1.0,6.0,106.0
laugh,0.0,0.0,0.0,2.0,21.0
estructurado,0.0,0.0,0.0,1.0,14.0
aplicacion,0.0,0.0,0.0,1.0,5.0
presenta,0.0,0.0,0.0,1.0,13.0
debe,0.0,0.0,0.0,1.0,8.0
ant,32.0,24.0,29.0,119.0,5028.0
tu,69.0,75.0,143.0,370.0,9919.0
medicin,0.0,0.0,0.0,1.0,7.0
creativ,1.0,0.0,0.0,2.0,121.0
fals,0.0,1.0,0.0,2.0,19.0
lingo,1.0,0.0,0.0,1.0,6.0
understan,42.0,52.0,131.0,326.0,6228.0
parallel,0.0,1.0,0.0,3.0,6.0
underli,0.0,0.0,1.0,4.0,33.0
skip,2.0,1.0,0.0,2.0,74.0
unless,1.0,2.0,1.0,4.0,17.0
acknowledg,0.0,0.0,0.0,1.0,13.0
comer,0.0,0.0,0.0,1.0,18.0
submit,2.0,1.0,1.0,7.0,25.0
youtub,9.0,5.0,4.0,7.0,35.0
varieti,2.0,0.0,0.0,2.0,56.0
shallow,0.0,3.0,3.0,2.0,3.0
albeit,1.0,0.0,0.0,1.0,4.0
kit,0.0,0.0,0.0,1.0,27.0
ist,24.0,21.0,32.0,63.0,1141.0
lifestyl,1.0,0.0,0.0,1.0,10.0
monoton,0.0,1.0,0.0,3.0,7.0
setup,0.0,0.0,0.0,1.0,12.0
subscrib,0.0,0.0,1.0,1.0,6.0
corona,0.0,0.0,0.0,1.0,5.0
italian,0.0,0.0,0.0,1.0,7.0
accent,6.0,4.0,11.0,12.0,12.0
clue,2.0,2.0,0.0,2.0,22.0
attain,0.0,0.0,0.0,1.0,16.0
ferramenta,0.0,0.0,0.0,1.0,13.0
estudo,0.0,0.0,0.0,1.0,12.0
caso,0.0,0.0,0.0,3.0,16.0
superfici,1.0,2.0,6.0,3.0,5.0
acerca,1.0,0.0,0.0,1.0,16.0
4th,0.0,0.0,3.0,1.0,12.0
appeal,0.0,0.0,0.0,1.0,16.0
ice,8.0,7.0,23.0,179.0,2140.0
queri,0.0,0.0,0.0,3.0,27.0
tho,39.0,55.0,99.0,289.0,8733.0
tradit,0.0,0.0,0.0,1.0,13.0
oppos,1.0,0.0,3.0,2.0,25.0
accomplish,1.0,3.0,0.0,2.0,92.0
forum,9.0,6.0,13.0,13.0,151.0
vida,0.0,0.0,0.0,1.0,94.0
necesita,0.0,0.0,0.0,3.0,10.0
led,17.0,18.0,29.0,168.0,3458.0
script,16.0,19.0,28.0,38.0,159.0
lern,0.0,0.0,0.0,1.0,9.0
altern,0.0,1.0,3.0,3.0,17.0
unabl,3.0,1.0,3.0,3.0,22.0
shortcom,1.0,0.0,0.0,1.0,6.0
exhaust,0.0,0.0,0.0,1.0,13.0
indian,0.0,0.0,1.0,1.0,6.0
recit,1.0,0.0,1.0,1.0,3.0
nonn,1.0,1.0,1.0,1.0,11.0
knoledg,0.0,0.0,0.0,1.0,9.0
graphic,0.0,3.0,0.0,2.0,24.0
nurtur,0.0,0.0,0.0,2.0,6.0
cloud,0.0,0.0,0.0,1.0,5.0
besid,1.0,0.0,1.0,5.0,64.0
70,0.0,0.0,0.0,1.0,7.0
mixtur,0.0,0.0,0.0,2.0,14.0
babi,1.0,1.0,0.0,1.0,21.0
assembl,0.0,0.0,0.0,1.0,7.0
shouldv,1.0,0.0,1.0,2.0,4.0
pdf,2.0,0.0,1.0,6.0,29.0
experinc,0.0,0.0,0.0,1.0,21.0
sharp,0.0,0.0,0.0,2.0,45.0
somewhat,0.0,2.0,8.0,8.0,45.0
analys,4.0,3.0,2.0,8.0,1628.0
deliber,0.0,0.0,0.0,2.0,31.0
minu,7.0,3.0,1.0,6.0,126.0
afterward,0.0,2.0,0.0,1.0,12.0
introducirs,0.0,0.0,0.0,1.0,5.0
forgotten,0.0,0.0,0.0,1.0,28.0
peek,0.0,0.0,0.0,3.0,3.0
distract,1.0,3.0,2.0,4.0,34.0
vou,0.0,0.0,0.0,1.0,81.0
cest,0.0,0.0,0.0,2.0,15.0
v,192.0,186.0,421.0,1502.0,32376.0
esteem,0.0,0.0,1.0,0.0,15.0
45,3.0,1.0,2.0,4.0,12.0
cheat,3.0,1.0,2.0,0.0,9.0
incom,3.0,0.0,4.0,1.0,9.0
constantli,0.0,2.0,1.0,2.0,32.0
roll,1.0,0.0,2.0,2.0,37.0
esp,15.0,13.0,26.0,39.0,1106.0
3rd,2.0,0.0,2.0,0.0,14.0
forth,0.0,0.0,2.0,2.0,22.0
imho,0.0,1.0,1.0,1.0,3.0
unclear,2.0,5.0,3.0,4.0,7.0
trivial,2.0,1.0,0.0,0.0,9.0
guess,3.0,7.0,4.0,9.0,45.0
bare,6.0,4.0,8.0,1.0,18.0
aprendi,1.0,0.0,0.0,0.0,293.0
nada,2.0,0.0,0.0,0.0,24.0
totalment,1.0,0.0,0.0,0.0,27.0
mac,2.0,1.0,9.0,31.0,535.0
sheet,1.0,2.0,1.0,4.0,236.0
doubl,0.0,1.0,1.0,0.0,8.0
shortcut,1.0,1.0,1.0,0.0,138.0
flash,0.0,2.0,0.0,0.0,13.0
separ,1.0,1.0,1.0,3.0,9.0
ms,4.0,1.0,2.0,2.0,244.0
copi,3.0,5.0,6.0,7.0,25.0
quicker,1.0,0.0,0.0,1.0,19.0
intim,0.0,0.0,0.0,1.0,71.0
ninja,0.0,0.0,0.0,0.0,45.0
dark,0.0,1.0,0.0,1.0,7.0
microsoft,0.0,1.0,0.0,0.0,124.0
edx,0.0,0.0,0.0,0.0,7.0
macquari,0.0,0.0,0.0,0.0,197.0
prashan,0.0,0.0,0.0,1.0,191.0
academia,1.0,0.0,0.0,0.0,17.0
spreadsheet,0.0,1.0,1.0,2.0,132.0
weak,1.0,6.0,3.0,5.0,43.0
archiv,0.0,0.0,1.0,0.0,3.0
inconsist,0.0,0.0,1.0,3.0,3.0
root,0.0,0.0,1.0,0.0,22.0
phrase,1.0,0.0,3.0,2.0,10.0
mini,1.0,2.0,1.0,5.0,91.0
okay,3.0,2.0,5.0,1.0,19.0
parent,0.0,0.0,0.0,0.0,42.0
sean,0.0,0.0,0.0,0.0,50.0
belov,0.0,0.0,0.0,0.0,8.0
nativ,3.0,1.0,4.0,1.0,44.0
workbook,0.0,0.0,0.0,1.0,68.0
utmost,0.0,0.0,0.0,0.0,13.0
usuario,0.0,0.0,0.0,0.0,6.0
intermedio,0.0,0.0,0.0,0.0,5.0
haber,0.0,0.0,0.0,1.0,20.0
aprendido,0.0,0.0,0.0,0.0,43.0
avanzado,0.0,0.0,0.0,0.0,6.0
programa,0.0,1.0,1.0,0.0,69.0
trust,0.0,0.0,0.0,0.0,44.0
worksheet,1.0,0.0,0.0,0.0,42.0
nicki,0.0,0.0,0.0,1.0,169.0
bull,0.0,0.0,0.0,0.0,23.0
yvonn,0.0,0.0,0.0,0.0,11.0
breyer,0.0,0.0,0.0,0.0,9.0
55,0.0,0.0,2.0,4.0,25.0
pascal,0.0,0.0,0.0,0.0,6.0
fortran,0.0,0.0,0.0,0.0,8.0
circumst,1.0,0.0,0.0,0.0,7.0
prestigi,0.0,0.0,0.0,0.0,9.0
guarante,1.0,0.0,0.0,0.0,24.0
sentenc,4.0,2.0,3.0,1.0,14.0
scientif,0.0,1.0,1.0,1.0,239.0
older,0.0,0.0,0.0,0.0,29.0
selftaught,0.0,0.0,0.0,0.0,56.0
eventu,1.0,0.0,0.0,2.0,25.0
incomplet,2.0,0.0,3.0,1.0,4.0
newer,1.0,1.0,0.0,1.0,10.0
keyboard,0.0,0.0,0.0,0.0,27.0
cultur,0.0,0.0,1.0,0.0,11.0
compulsori,0.0,0.0,0.0,0.0,15.0
coordin,0.0,0.0,0.0,0.0,20.0
recap,0.0,0.0,0.0,1.0,18.0
userfriendli,0.0,0.0,0.0,0.0,19.0
born,0.0,0.0,0.0,0.0,14.0
cute,0.0,0.0,0.0,1.0,21.0
persever,0.0,0.0,0.0,0.0,26.0
cell,0.0,0.0,1.0,1.0,21.0
referenc,0.0,0.0,1.0,2.0,8.0
redo,0.0,0.0,5.0,1.0,14.0
struggl,4.0,4.0,5.0,8.0,251.0
laptop,0.0,2.0,1.0,1.0,6.0
asses,2.0,0.0,3.0,7.0,288.0
walkthrough,0.0,1.0,0.0,1.0,8.0
print,0.0,2.0,4.0,2.0,50.0
report,0.0,1.0,0.0,2.0,21.0
paus,3.0,2.0,1.0,2.0,30.0
center,1.0,0.0,0.0,0.0,8.0
devot,0.0,0.0,0.0,0.0,10.0
practis,0.0,1.0,0.0,2.0,68.0
annoy,6.0,3.0,2.0,2.0,23.0
datadriven,0.0,0.0,0.0,0.0,17.0
smallest,0.0,0.0,0.0,0.0,9.0
bonu,0.0,0.0,0.0,13.0,200.0
toolbox,0.0,0.0,0.0,0.0,22.0
skeptic,0.0,0.0,0.0,0.0,21.0
upset,1.0,0.0,0.0,0.0,5.0
dumb,3.0,0.0,0.0,0.0,13.0
alter,0.0,2.0,3.0,3.0,27.0
slip,0.0,1.0,0.0,0.0,7.0
color,0.0,0.0,1.0,0.0,16.0
rout,1.0,1.0,0.0,0.0,68.0
highqual,0.0,0.0,0.0,0.0,14.0
credit,0.0,0.0,2.0,1.0,17.0
mix,2.0,1.0,2.0,4.0,72.0
elegantli,0.0,0.0,0.0,0.0,6.0
vivid,0.0,0.0,0.0,0.0,39.0
season,0.0,0.0,0.0,0.0,17.0
worthwhil,0.0,0.0,1.0,1.0,42.0
occas,2.0,1.0,0.0,6.0,17.0
werent,1.0,1.0,4.0,3.0,22.0
frustrat,5.0,7.0,11.0,10.0,98.0
forev,0.0,0.0,0.0,0.0,58.0
hide,0.0,1.0,0.0,0.0,5.0
karunaratn,0.0,0.0,0.0,0.0,16.0
australia,0.0,0.0,0.0,0.0,8.0
invalu,0.0,0.0,0.0,0.0,87.0
intric,0.0,0.0,0.0,0.0,14.0
pull,0.0,1.0,2.0,3.0,25.0
hesit,0.0,0.0,0.0,0.0,53.0
22,0.0,0.0,0.0,0.0,7.0
thread,3.0,1.0,0.0,0.0,7.0
macro,0.0,0.0,0.0,0.0,5.0
cue,0.0,1.0,1.0,1.0,52.0
overlook,0.0,1.0,0.0,0.0,10.0
accommod,0.0,0.0,1.0,0.0,6.0
writer,0.0,0.0,0.0,0.0,8.0
fist,0.0,0.0,0.0,0.0,7.0
harder,0.0,1.0,2.0,27.0,76.0
proven,0.0,0.0,0.0,1.0,34.0
origin,2.0,2.0,1.0,1.0,28.0
prashant,0.0,0.0,0.0,0.0,20.0
powerpoint,3.0,5.0,2.0,1.0,6.0
phone,2.0,4.0,2.0,1.0,11.0
mode,3.0,7.0,5.0,9.0,296.0
mate,17.0,26.0,52.0,121.0,2377.0
pair,0.0,0.0,0.0,0.0,11.0
amus,0.0,0.0,1.0,0.0,9.0
suck,0.0,1.0,1.0,1.0,7.0
mcq,0.0,0.0,0.0,0.0,7.0
fulltim,0.0,0.0,0.0,0.0,13.0
hadnt,0.0,1.0,0.0,0.0,28.0
extern,3.0,1.0,5.0,2.0,27.0
wellwritten,0.0,0.0,0.0,0.0,8.0
diction,1.0,1.0,3.0,6.0,15.0
changer,0.0,0.0,0.0,0.0,19.0
onto,0.0,1.0,0.0,1.0,33.0
25,0.0,0.0,0.0,3.0,35.0
emphasi,0.0,0.0,1.0,2.0,27.0
calcul,0.0,0.0,1.0,2.0,44.0
broke,1.0,3.0,2.0,7.0,136.0
expertli,0.0,0.0,0.0,1.0,6.0
adventur,0.0,0.0,0.0,0.0,34.0
showcas,0.0,0.0,0.0,0.0,17.0
screenshot,0.0,0.0,1.0,1.0,5.0
hidden,0.0,0.0,0.0,1.0,22.0
command,2.0,2.0,1.0,1.0,103.0
fault,1.0,0.0,0.0,0.0,14.0
closer,0.0,0.0,0.0,0.0,17.0
cherri,0.0,0.0,0.0,1.0,8.0
firsttim,0.0,0.0,0.0,0.0,13.0
ran,13.0,22.0,25.0,56.0,646.0
embed,0.0,0.0,0.0,0.0,8.0
realis,1.0,1.0,1.0,1.0,98.0
lost,1.0,5.0,5.0,8.0,80.0
possess,0.0,0.0,0.0,1.0,10.0
challang,0.0,0.0,0.0,1.0,9.0
sooo,0.0,0.0,0.0,1.0,29.0
omg,0.0,1.0,0.0,0.0,6.0
sooner,0.0,0.0,0.0,1.0,24.0
tabl,0.0,0.0,2.0,4.0,193.0
maximis,0.0,0.0,0.0,0.0,12.0
md,0.0,0.0,0.0,0.0,6.0
esenci,0.0,0.0,0.0,0.0,12.0
manejar,0.0,0.0,0.0,0.0,9.0
explican,0.0,0.0,0.0,1.0,28.0
modo,0.0,1.0,1.0,0.0,230.0
duda,0.0,0.0,0.0,0.0,24.0
hacen,0.0,0.0,0.0,0.0,17.0
experiencia,0.0,0.0,0.0,0.0,38.0
usar,0.0,1.0,1.0,1.0,31.0
luego,0.0,0.0,0.0,0.0,7.0
solo,1.0,0.0,1.0,1.0,40.0
puedo,1.0,0.0,0.0,0.0,12.0
decir,0.0,0.0,1.0,0.0,8.0
estaba,0.0,0.0,0.0,0.0,7.0
mother,0.0,0.0,1.0,0.0,20.0
tongu,0.0,0.0,1.0,0.0,7.0
arrang,1.0,0.0,0.0,3.0,60.0
lab,3.0,2.0,8.0,14.0,218.0
nikki,0.0,0.0,0.0,0.0,55.0
peerreview,0.0,0.0,0.0,0.0,6.0
dri,4.0,1.0,0.0,4.0,126.0
correspond,1.0,0.0,4.0,0.0,11.0
niki,0.0,0.0,0.0,0.0,10.0
scene,1.0,0.0,0.0,0.0,19.0
frame,0.0,0.0,2.0,8.0,71.0
creator,0.0,0.0,0.0,2.0,66.0
trivia,3.0,2.0,0.0,0.0,13.0
2016,0.0,0.0,1.0,1.0,17.0
transfer,0.0,0.0,0.0,2.0,36.0
forgot,0.0,0.0,0.0,1.0,54.0
room,0.0,2.0,2.0,3.0,79.0
35,0.0,0.0,3.0,1.0,12.0
cement,0.0,0.0,0.0,1.0,30.0
shouldnt,0.0,0.0,0.0,0.0,20.0
theyv,0.0,1.0,0.0,0.0,16.0
tought,0.0,0.0,0.0,0.0,19.0
macquair,0.0,0.0,0.0,0.0,7.0
emot,2.0,0.0,1.0,0.0,28.0
rush,4.0,6.0,6.0,7.0,111.0
maam,0.0,0.0,0.0,0.0,34.0
pleasantli,0.0,0.0,0.0,1.0,19.0
necessarili,1.0,0.0,2.0,3.0,13.0
instanc,1.0,2.0,3.0,3.0,11.0
instal,1.0,0.0,1.0,7.0,43.0
sharpen,0.0,0.0,0.0,1.0,34.0
usabl,0.0,0.0,1.0,2.0,19.0
faith,1.0,0.0,0.0,0.0,10.0
grant,0.0,0.0,0.0,5.0,22.0
covid,0.0,0.0,0.0,1.0,37.0
universidad,0.0,0.0,0.0,0.0,32.0
sea,3.0,5.0,12.0,21.0,448.0
embargo,0.0,0.0,1.0,2.0,12.0
ayudado,0.0,0.0,0.0,0.0,13.0
falta,1.0,0.0,0.0,1.0,7.0
madam,0.0,0.0,0.0,0.0,15.0
commerc,0.0,0.0,0.0,0.0,7.0
te,148.0,146.0,333.0,920.0,20879.0
toda,0.0,0.0,0.0,5.0,188.0
necesaria,0.0,0.0,0.0,0.0,12.0
actividad,0.0,0.0,0.0,0.0,17.0
mismo,1.0,0.0,2.0,1.0,22.0
ir,39.0,37.0,71.0,168.0,4578.0
haciendo,0.0,0.0,0.0,0.0,7.0
rewind,0.0,0.0,0.0,0.0,7.0
notebook,0.0,0.0,0.0,1.0,7.0
grown,0.0,0.0,0.0,0.0,8.0
six,0.0,0.0,0.0,0.0,26.0
famou,0.0,0.0,0.0,1.0,10.0
button,1.0,0.0,0.0,0.0,11.0
claim,1.0,0.0,2.0,1.0,17.0
uplift,1.0,0.0,0.0,1.0,5.0
foster,0.0,0.0,0.0,0.0,8.0
satisfactori,0.0,1.0,2.0,1.0,13.0
detect,0.0,0.0,0.0,1.0,7.0
repasar,0.0,0.0,0.0,0.0,8.0
contenido,0.0,1.0,1.0,4.0,62.0
versu,1.0,0.0,2.0,0.0,4.0
msexcel,0.0,0.0,0.0,0.0,9.0
macquir,0.0,0.0,0.0,0.0,10.0
rank,1.0,1.0,1.0,0.0,19.0
aris,0.0,1.0,3.0,2.0,50.0
hate,2.0,0.0,1.0,0.0,137.0
exc,8.0,11.0,18.0,159.0,9987.0
14,0.0,0.0,1.0,0.0,20.0
hone,10.0,8.0,7.0,5.0,158.0
mba,3.0,0.0,1.0,3.0,61.0
pie,2.0,5.0,2.0,2.0,140.0
column,1.0,0.0,0.0,0.0,7.0
assum,3.0,1.0,1.0,1.0,55.0
effortlessli,0.0,0.0,0.0,0.0,6.0
max,0.0,0.0,2.0,1.0,102.0
worldwid,0.0,0.0,0.0,0.0,15.0
alongsid,0.0,0.0,0.0,0.0,23.0
sabia,0.0,0.0,0.0,0.0,15.0
interactivo,0.0,0.0,0.0,0.0,6.0
anymor,1.0,0.0,4.0,2.0,29.0
alon,3.0,3.0,6.0,13.0,413.0
worker,1.0,0.0,0.0,0.0,11.0
extent,0.0,0.0,1.0,0.0,22.0
remain,3.0,0.0,1.0,2.0,77.0
maxim,0.0,0.0,1.0,1.0,86.0
z,21.0,26.0,42.0,116.0,5232.0
histori,0.0,0.0,0.0,6.0,47.0
classroom,0.0,1.0,0.0,0.0,55.0
dozen,0.0,1.0,0.0,1.0,6.0
unnecessarili,0.0,0.0,1.0,3.0,2.0
temp,0.0,4.0,4.0,3.0,107.0
display,0.0,0.0,1.0,1.0,14.0
secret,1.0,0.0,0.0,0.0,14.0
elat,5.0,2.0,13.0,26.0,493.0
dispos,1.0,0.0,0.0,0.0,5.0
document,2.0,0.0,6.0,12.0,35.0
blind,0.0,0.0,1.0,1.0,17.0
administr,0.0,0.0,0.0,0.0,10.0
practicar,0.0,0.0,0.0,0.0,11.0
